teacher_id,avg_rating,total_classes_taught,verification_rate,avg_topics_per_class,student_retention_rate,total_earnings_ils,_etl_updated_at
201,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
202,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
203,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
204,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
1086,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
1090,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
1131,0.00,11,0.00,0.00,10.00,0.00,2026-03-18 17:19:35.733774+05:30
1302,0.00,10,0.00,0.00,11.11,0.00,2026-03-18 17:19:35.733774+05:30
1336,0.00,32,0.00,0.00,26.09,0.00,2026-03-18 17:19:35.733774+05:30
1700,0.00,122,0.00,0.00,57.69,0.00,2026-03-18 17:19:35.733774+05:30
1769,0.00,80,0.00,0.00,55.00,0.00,2026-03-18 17:19:35.733774+05:30
1781,0.00,35,0.00,0.00,52.63,0.00,2026-03-18 17:19:35.733774+05:30
2198,0.00,70,0.00,0.00,54.84,0.00,2026-03-18 17:19:35.733774+05:30
2208,0.00,43,0.00,0.00,52.94,0.00,2026-03-18 17:19:35.733774+05:30
2278,0.00,43,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
2350,0.00,44,0.00,0.00,64.71,0.00,2026-03-18 17:19:35.733774+05:30
2468,0.00,18,0.00,0.00,33.33,0.00,2026-03-18 17:19:35.733774+05:30
2488,0.00,8,0.00,0.00,33.33,0.00,2026-03-18 17:19:35.733774+05:30
2503,0.00,21,0.00,0.00,53.85,0.00,2026-03-18 17:19:35.733774+05:30
2583,0.00,43,0.00,0.00,56.52,0.00,2026-03-18 17:19:35.733774+05:30
2791,0.00,24,0.00,0.00,35.29,0.00,2026-03-18 17:19:35.733774+05:30
3026,0.00,12,0.00,0.00,25.00,0.00,2026-03-18 17:19:35.733774+05:30
3099,0.00,37,0.00,0.00,55.00,0.00,2026-03-18 17:19:35.733774+05:30
3551,0.00,33,0.00,0.00,52.63,0.00,2026-03-18 17:19:35.733774+05:30
3574,0.00,15,0.00,0.00,44.44,0.00,2026-03-18 17:19:35.733774+05:30
3592,0.00,12,0.00,0.00,11.11,0.00,2026-03-18 17:19:35.733774+05:30
3696,0.00,23,0.00,0.00,57.14,0.00,2026-03-18 17:19:35.733774+05:30
3783,0.00,53,0.00,0.00,57.89,0.00,2026-03-18 17:19:35.733774+05:30
4006,0.00,41,0.00,0.00,42.31,0.00,2026-03-18 17:19:35.733774+05:30
4046,0.00,22,0.00,0.00,29.41,0.00,2026-03-18 17:19:35.733774+05:30
4081,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
4569,0.00,11,0.00,0.00,42.86,0.00,2026-03-18 17:19:35.733774+05:30
4997,0.00,21,0.00,0.00,55.56,0.00,2026-03-18 17:19:35.733774+05:30
5020,0.00,12,0.00,0.00,37.50,0.00,2026-03-18 17:19:35.733774+05:30
5285,0.00,94,0.00,0.00,60.98,0.00,2026-03-18 17:19:35.733774+05:30
5323,0.00,51,0.00,0.00,46.15,0.00,2026-03-18 17:19:35.733774+05:30
5324,0.00,97,0.00,0.00,57.89,0.00,2026-03-18 17:19:35.733774+05:30
5877,0.00,47,0.00,0.00,61.90,0.00,2026-03-18 17:19:35.733774+05:30
5878,0.00,59,0.00,0.00,56.52,0.00,2026-03-18 17:19:35.733774+05:30
5882,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
5926,0.00,49,0.00,0.00,71.43,0.00,2026-03-18 17:19:35.733774+05:30
5951,0.00,23,0.00,0.00,29.41,0.00,2026-03-18 17:19:35.733774+05:30
6009,0.00,21,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
6215,0.00,8,0.00,0.00,40.00,0.00,2026-03-18 17:19:35.733774+05:30
6216,0.00,21,0.00,0.00,38.46,0.00,2026-03-18 17:19:35.733774+05:30
6596,0.00,15,0.00,0.00,15.38,0.00,2026-03-18 17:19:35.733774+05:30
6606,0.00,4,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
6789,0.00,13,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
6831,0.00,33,0.00,0.00,45.00,0.00,2026-03-18 17:19:35.733774+05:30
6855,0.00,38,0.00,0.00,40.91,0.00,2026-03-18 17:19:35.733774+05:30
6886,0.00,13,0.00,0.00,20.00,0.00,2026-03-18 17:19:35.733774+05:30
6910,0.00,13,0.00,0.00,9.09,0.00,2026-03-18 17:19:35.733774+05:30
6972,0.00,13,0.00,0.00,18.18,0.00,2026-03-18 17:19:35.733774+05:30
6996,0.00,5,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
7108,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
7109,0.00,15,0.00,0.00,37.50,0.00,2026-03-18 17:19:35.733774+05:30
7136,0.00,36,0.00,0.00,58.82,0.00,2026-03-18 17:19:35.733774+05:30
7165,0.00,7,0.00,0.00,16.67,0.00,2026-03-18 17:19:35.733774+05:30
7222,0.00,15,0.00,0.00,62.50,0.00,2026-03-18 17:19:35.733774+05:30
7269,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
7315,0.00,3,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
7523,0.00,19,0.00,0.00,20.00,0.00,2026-03-18 17:19:35.733774+05:30
7551,0.00,46,0.00,0.00,65.00,0.00,2026-03-18 17:19:35.733774+05:30
7672,0.00,19,0.00,0.00,63.64,0.00,2026-03-18 17:19:35.733774+05:30
7673,0.00,14,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
7684,0.00,18,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
7685,0.00,59,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
7740,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
7845,0.00,35,0.00,0.00,57.14,0.00,2026-03-18 17:19:35.733774+05:30
7921,0.00,18,0.00,0.00,36.36,0.00,2026-03-18 17:19:35.733774+05:30
7922,0.00,18,0.00,0.00,30.77,0.00,2026-03-18 17:19:35.733774+05:30
7923,0.00,21,0.00,0.00,83.33,0.00,2026-03-18 17:19:35.733774+05:30
8044,0.00,5,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
8091,0.00,10,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8220,0.00,5,0.00,0.00,100.00,0.00,2026-03-18 17:19:35.733774+05:30
8272,0.00,43,0.00,0.00,68.75,0.00,2026-03-18 17:19:35.733774+05:30
8307,0.00,3,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
8367,0.00,6,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
8462,0.00,5,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8463,0.00,8,0.00,0.00,75.00,0.00,2026-03-18 17:19:35.733774+05:30
8464,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8467,0.00,1,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8504,0.00,6,0.00,0.00,50.00,0.00,2026-03-18 17:19:35.733774+05:30
8505,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8506,0.00,3,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8618,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8683,0.00,7,0.00,0.00,66.67,0.00,2026-03-18 17:19:35.733774+05:30
8684,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8685,0.00,2,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8701,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8702,0.00,1,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8732,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8752,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8789,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8793,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8853,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8854,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8857,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
8961,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
9001,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
9002,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
9080,0.00,0,0.00,0.00,0.00,0.00,2026-03-18 17:19:35.733774+05:30
